Doctor_Name,Specialization,Available_Timings,Available_Date,Hospital_Name,Location,Department_Size,Patient_Influx,Doctor_Ratio,Doctor_Availability
Dr. Anil Mehra,Orthopedics,11,21-07-2032,City Hospital,Mumbai,23,261,1.63,1
Dr. Swati Desai,Cardiology,14,22-07-2032,Metro Hospital,Kolkata,40,151,1.44,1
Dr. Swati Desai,Orthopedics,14,23-07-2032,Metro Hospital,Kolkata,13,326,1.05,0
Dr. Rohit Verma,Pediatrics,16,24-07-2032,Metro Hospital,New Delhi,31,245,0.65,0
Dr. Rohit Verma,Pediatrics,8,25-07-2032,Metro Hospital,Chennai,73,126,1.19,1
Dr. Ravi Kumar,Cardiology,12,26-07-2032,Metro Hospital,Kolkata,86,387,1.89,0
Dr. Rohit Verma,Pediatrics,17,27-07-2032,Govt Health Center,New Delhi,93,382,1.37,0
Dr. Ravi Kumar,Orthopedics,10,28-07-2032,City Hospital,Mumbai,92,254,0.78,0
Dr. Ravi Kumar,Orthopedics,14,29-07-2032,City Hospital,New Delhi,88,278,1.47,1
Dr. Swati Desai,Pediatrics,11,30-07-2032,Metro Hospital,Kolkata,99,238,1.2,1
Dr. Swati Desai,Orthopedics,11,31-07-2032,City Hospital,New Delhi,93,148,1.9,1
Dr. Anil Mehra,Dermatology,8,01-08-2032,Govt Health Center,New Delhi,70,471,0.74,0
Dr. Swati Desai,Dermatology,8,02-08-2032,Metro Hospital,Mumbai,15,473,1.57,0
Dr. Swati Desai,Orthopedics,17,03-08-2032,Govt Health Center,New Delhi,88,460,1.52,0
Dr. Rohit Verma,Pediatrics,9,04-08-2032,Govt Health Center,Mumbai,77,491,1.98,0
Dr. Swati Desai,Cardiology,9,05-08-2032,Metro Hospital,Mumbai,15,267,1.35,1
Dr. Anil Mehra,Pediatrics,8,06-08-2032,Govt Health Center,New Delhi,75,243,1.81,1
Dr. Rohit Verma,Cardiology,15,07-08-2032,Metro Hospital,Kolkata,45,92,0.54,0
Dr. Anil Mehra,Pediatrics,13,08-08-2032,Govt Health Center,Chennai,24,427,0.68,0
Dr. Swati Desai,Orthopedics,13,09-08-2032,City Hospital,New Delhi,85,173,1.02,1
Dr. Anil Mehra,Dermatology,17,10-08-2032,City Hospital,New Delhi,49,69,1.43,1
Dr. Rohit Verma,Pediatrics,17,11-08-2032,City Hospital,New Delhi,50,468,1.17,0
Dr. Ravi Kumar,Cardiology,16,12-08-2032,Metro Hospital,Chennai,16,360,0.8,0
Dr. Anil Mehra,Dermatology,12,13-08-2032,Govt Health Center,Chennai,31,379,1.38,0
Dr. Anil Mehra,Cardiology,11,14-08-2032,Govt Health Center,Mumbai,81,377,1.35,0
Dr. Rohit Verma,Orthopedics,13,15-08-2032,City Hospital,Chennai,20,217,1.29,1
Dr. Rohit Verma,Dermatology,15,16-08-2032,City Hospital,Chennai,11,95,0.64,0
Dr. Anil Mehra,Cardiology,8,17-08-2032,Metro Hospital,New Delhi,39,272,1.89,1
Dr. Swati Desai,Pediatrics,14,18-08-2032,Metro Hospital,Mumbai,77,128,1.39,1
Dr. Anil Mehra,Orthopedics,15,19-08-2032,Govt Health Center,Kolkata,62,219,0.9,0
Dr. Rohit Verma,Orthopedics,16,20-08-2032,Metro Hospital,Mumbai,98,451,1.53,0
Dr. Ravi Kumar,Orthopedics,15,21-08-2032,Metro Hospital,Chennai,30,295,0.98,0
Dr. Ravi Kumar,Pediatrics,14,22-08-2032,Metro Hospital,Chennai,34,320,1.26,0
Dr. Swati Desai,Pediatrics,10,23-08-2032,City Hospital,New Delhi,82,148,1.01,1
Dr. Anil Mehra,Dermatology,9,24-08-2032,City Hospital,Kolkata,81,371,1.82,0
Dr. Ravi Kumar,Pediatrics,10,25-08-2032,Govt Health Center,Kolkata,14,190,1.99,1
Dr. Anil Mehra,Dermatology,11,26-08-2032,Metro Hospital,Kolkata,75,158,0.74,0
Dr. Rohit Verma,Orthopedics,11,27-08-2032,City Hospital,Chennai,94,362,0.54,0
Dr. Ravi Kumar,Dermatology,13,28-08-2032,Metro Hospital,Chennai,58,186,0.83,0
Dr. Swati Desai,Cardiology,14,29-08-2032,Govt Health Center,Mumbai,17,170,1.38,1
Dr. Rohit Verma,Orthopedics,11,30-08-2032,Metro Hospital,Chennai,96,148,0.76,0
Dr. Swati Desai,Orthopedics,17,31-08-2032,Govt Health Center,Kolkata,88,115,1.72,1
Dr. Rohit Verma,Dermatology,13,01-09-2032,Govt Health Center,Kolkata,36,193,1.11,1
Dr. Ravi Kumar,Orthopedics,16,02-09-2032,City Hospital,Kolkata,11,159,1.42,1
Dr. Swati Desai,Pediatrics,13,03-09-2032,Metro Hospital,New Delhi,37,179,1.18,1
Dr. Swati Desai,Cardiology,10,04-09-2032,City Hospital,Mumbai,20,449,1.85,0
Dr. Rohit Verma,Dermatology,8,05-09-2032,Metro Hospital,Mumbai,55,377,0.55,0
Dr. Swati Desai,Dermatology,17,06-09-2032,Metro Hospital,Chennai,30,306,1.59,0
Dr. Rohit Verma,Orthopedics,17,07-09-2032,Govt Health Center,New Delhi,51,259,1.48,1
Dr. Rohit Verma,Pediatrics,12,08-09-2032,Govt Health Center,Mumbai,41,295,1.47,1
Dr. Rohit Verma,Orthopedics,17,09-09-2032,Metro Hospital,New Delhi,41,410,1.12,0
Dr. Rohit Verma,Orthopedics,17,10-09-2032,City Hospital,New Delhi,80,203,0.52,0
Dr. Ravi Kumar,Dermatology,10,11-09-2032,Govt Health Center,Chennai,31,477,1.53,0
Dr. Rohit Verma,Orthopedics,15,12-09-2032,Govt Health Center,New Delhi,87,182,1.74,1
Dr. Anil Mehra,Cardiology,17,13-09-2032,Metro Hospital,Mumbai,86,70,0.63,0
Dr. Swati Desai,Orthopedics,8,14-09-2032,Metro Hospital,Chennai,30,84,1.16,1
Dr. Anil Mehra,Orthopedics,9,15-09-2032,Govt Health Center,Mumbai,31,409,0.74,0
Dr. Ravi Kumar,Dermatology,10,16-09-2032,City Hospital,New Delhi,43,359,1.42,0
Dr. Anil Mehra,Orthopedics,10,17-09-2032,Govt Health Center,New Delhi,19,273,1.68,1
Dr. Swati Desai,Pediatrics,15,18-09-2032,Metro Hospital,Kolkata,74,173,1.5,1
Dr. Anil Mehra,Dermatology,12,19-09-2032,Govt Health Center,Chennai,74,289,0.98,0
Dr. Ravi Kumar,Orthopedics,15,20-09-2032,Metro Hospital,Chennai,97,483,0.71,0
Dr. Rohit Verma,Cardiology,13,21-09-2032,Govt Health Center,Kolkata,76,413,1.69,0
Dr. Anil Mehra,Cardiology,9,22-09-2032,Metro Hospital,Mumbai,52,349,0.99,0
Dr. Ravi Kumar,Dermatology,11,23-09-2032,Metro Hospital,Mumbai,50,390,0.53,0
Dr. Ravi Kumar,Dermatology,16,24-09-2032,City Hospital,New Delhi,22,53,1.36,1
Dr. Swati Desai,Orthopedics,11,25-09-2032,Metro Hospital,Chennai,13,172,0.87,0
Dr. Swati Desai,Pediatrics,12,26-09-2032,Govt Health Center,New Delhi,32,91,1.76,1
Dr. Anil Mehra,Orthopedics,12,27-09-2032,Metro Hospital,Kolkata,79,218,0.71,0
Dr. Rohit Verma,Cardiology,17,28-09-2032,Govt Health Center,New Delhi,43,469,1.15,0
Dr. Ravi Kumar,Pediatrics,15,29-09-2032,City Hospital,Mumbai,50,329,0.88,0
Dr. Anil Mehra,Pediatrics,13,30-09-2032,Govt Health Center,Mumbai,27,274,1.53,1
Dr. Ravi Kumar,Pediatrics,17,01-10-2032,City Hospital,Kolkata,99,438,1.32,0
Dr. Ravi Kumar,Orthopedics,14,02-10-2032,City Hospital,Mumbai,42,234,1.69,1
Dr. Rohit Verma,Cardiology,13,03-10-2032,Metro Hospital,Kolkata,34,372,1.19,0
Dr. Rohit Verma,Dermatology,12,04-10-2032,City Hospital,Chennai,61,60,0.51,0
Dr. Anil Mehra,Orthopedics,12,05-10-2032,Govt Health Center,Kolkata,26,222,0.82,0
Dr. Rohit Verma,Dermatology,10,06-10-2032,City Hospital,Kolkata,60,145,2,1
Dr. Rohit Verma,Pediatrics,14,07-10-2032,City Hospital,Kolkata,12,327,1.11,0
Dr. Anil Mehra,Pediatrics,17,08-10-2032,Metro Hospital,Mumbai,64,188,1.43,1
Dr. Rohit Verma,Orthopedics,12,09-10-2032,Govt Health Center,Chennai,95,215,1.86,1
Dr. Swati Desai,Cardiology,14,10-10-2032,City Hospital,New Delhi,65,236,0.53,0
Dr. Ravi Kumar,Pediatrics,9,11-10-2032,Metro Hospital,Chennai,44,135,1.49,1
Dr. Ravi Kumar,Dermatology,16,12-10-2032,Metro Hospital,Mumbai,77,437,0.93,0
Dr. Ravi Kumar,Dermatology,15,13-10-2032,Govt Health Center,Chennai,68,280,0.92,0
Dr. Ravi Kumar,Orthopedics,12,14-10-2032,Metro Hospital,Chennai,68,187,0.84,0
Dr. Anil Mehra,Dermatology,9,15-10-2032,City Hospital,Kolkata,22,68,1.73,1
Dr. Ravi Kumar,Cardiology,13,16-10-2032,Metro Hospital,Kolkata,71,387,1.06,0
Dr. Ravi Kumar,Pediatrics,15,17-10-2032,Govt Health Center,Mumbai,56,205,0.6,0
Dr. Ravi Kumar,Dermatology,14,18-10-2032,Govt Health Center,Kolkata,85,144,0.65,0
Dr. Ravi Kumar,Dermatology,15,19-10-2032,Metro Hospital,Mumbai,12,66,0.72,0
Dr. Swati Desai,Pediatrics,11,20-10-2032,City Hospital,New Delhi,30,329,1.85,0
Dr. Ravi Kumar,Orthopedics,10,21-10-2032,Metro Hospital,Chennai,74,434,1.14,0
Dr. Swati Desai,Dermatology,14,22-10-2032,Govt Health Center,New Delhi,27,310,1.87,0
Dr. Anil Mehra,Orthopedics,9,23-10-2032,Metro Hospital,New Delhi,22,209,1.73,1
Dr. Rohit Verma,Orthopedics,12,24-10-2032,Metro Hospital,Chennai,80,358,1.76,0
Dr. Ravi Kumar,Dermatology,14,25-10-2032,City Hospital,Kolkata,86,130,0.93,0
Dr. Rohit Verma,Cardiology,8,26-10-2032,Metro Hospital,New Delhi,90,234,0.91,0
Dr. Rohit Verma,Orthopedics,11,27-10-2032,City Hospital,Chennai,54,262,1.34,1
Dr. Anil Mehra,Dermatology,9,28-10-2032,Metro Hospital,New Delhi,71,476,1.13,0
Dr. Rohit Verma,Orthopedics,13,29-10-2032,Metro Hospital,New Delhi,39,391,1.26,0
Dr. Swati Desai,Pediatrics,8,30-10-2032,City Hospital,Chennai,84,408,0.58,0
Dr. Rohit Verma,Cardiology,14,31-10-2032,City Hospital,Kolkata,23,216,1.96,1
Dr. Rohit Verma,Cardiology,10,01-11-2032,Govt Health Center,Mumbai,62,467,0.59,0
Dr. Rohit Verma,Pediatrics,8,02-11-2032,City Hospital,Chennai,19,255,0.77,0
Dr. Ravi Kumar,Pediatrics,15,03-11-2032,Metro Hospital,Mumbai,81,385,1.52,0
Dr. Ravi Kumar,Orthopedics,14,04-11-2032,Govt Health Center,Chennai,40,310,0.73,0
Dr. Swati Desai,Pediatrics,9,05-11-2032,City Hospital,Chennai,15,323,0.66,0
Dr. Swati Desai,Cardiology,14,06-11-2032,City Hospital,Mumbai,92,437,0.73,0
Dr. Ravi Kumar,Pediatrics,10,07-11-2032,Govt Health Center,Mumbai,28,285,0.59,0
Dr. Swati Desai,Dermatology,16,08-11-2032,Metro Hospital,Kolkata,21,292,0.88,0
Dr. Ravi Kumar,Dermatology,15,09-11-2032,Metro Hospital,Chennai,73,269,0.91,0
Dr. Anil Mehra,Orthopedics,12,10-11-2032,Govt Health Center,Chennai,91,414,1.25,0
Dr. Rohit Verma,Cardiology,14,11-11-2032,Metro Hospital,Chennai,64,396,1.16,0
Dr. Rohit Verma,Dermatology,10,12-11-2032,City Hospital,Kolkata,76,119,1.21,1
Dr. Swati Desai,Pediatrics,8,13-11-2032,Metro Hospital,Mumbai,18,444,1.42,0
Dr. Ravi Kumar,Dermatology,8,14-11-2032,City Hospital,Chennai,15,480,0.85,0
Dr. Ravi Kumar,Dermatology,9,15-11-2032,Metro Hospital,Mumbai,10,262,0.7,0
Dr. Swati Desai,Orthopedics,15,16-11-2032,City Hospital,Kolkata,51,386,1.82,0
Dr. Ravi Kumar,Pediatrics,8,17-11-2032,Govt Health Center,New Delhi,64,336,1.45,0
Dr. Anil Mehra,Pediatrics,12,18-11-2032,City Hospital,Mumbai,58,275,0.59,0
Dr. Rohit Verma,Pediatrics,16,19-11-2032,Metro Hospital,Kolkata,39,318,1.94,0
Dr. Swati Desai,Orthopedics,16,20-11-2032,City Hospital,New Delhi,44,328,1.54,0
Dr. Swati Desai,Pediatrics,9,21-11-2032,Metro Hospital,Chennai,72,298,0.73,0
Dr. Ravi Kumar,Pediatrics,14,22-11-2032,Metro Hospital,Chennai,31,370,1.95,0
Dr. Swati Desai,Dermatology,8,23-11-2032,City Hospital,Mumbai,52,245,1.05,1
Dr. Anil Mehra,Dermatology,10,24-11-2032,Metro Hospital,New Delhi,37,79,1.98,1
Dr. Ravi Kumar,Pediatrics,13,25-11-2032,Govt Health Center,Kolkata,27,464,0.65,0
Dr. Ravi Kumar,Cardiology,16,26-11-2032,Metro Hospital,Chennai,41,352,0.74,0
Dr. Ravi Kumar,Cardiology,17,27-11-2032,Govt Health Center,Chennai,78,449,1.49,0
Dr. Ravi Kumar,Pediatrics,9,28-11-2032,Govt Health Center,New Delhi,63,476,0.53,0
Dr. Anil Mehra,Cardiology,14,29-11-2032,Metro Hospital,Kolkata,43,180,0.53,0
Dr. Ravi Kumar,Orthopedics,11,30-11-2032,Govt Health Center,Chennai,40,61,1.69,1
Dr. Swati Desai,Dermatology,9,01-12-2032,Govt Health Center,Chennai,13,444,0.75,0
Dr. Anil Mehra,Orthopedics,10,02-12-2032,City Hospital,Mumbai,23,65,1.88,1
Dr. Rohit Verma,Dermatology,13,03-12-2032,Govt Health Center,Kolkata,24,462,1.14,0
Dr. Rohit Verma,Cardiology,17,04-12-2032,Govt Health Center,Chennai,69,166,1.81,1
Dr. Swati Desai,Cardiology,16,05-12-2032,Govt Health Center,New Delhi,29,198,1.13,1
Dr. Swati Desai,Pediatrics,15,06-12-2032,Govt Health Center,Chennai,29,158,1.3,1
Dr. Anil Mehra,Cardiology,17,07-12-2032,Govt Health Center,Kolkata,58,285,0.97,0
Dr. Rohit Verma,Cardiology,16,08-12-2032,Metro Hospital,Mumbai,77,363,1.49,0
Dr. Rohit Verma,Pediatrics,11,09-12-2032,Govt Health Center,Chennai,27,476,0.98,0
Dr. Rohit Verma,Pediatrics,11,10-12-2032,Metro Hospital,New Delhi,33,54,0.83,0
Dr. Rohit Verma,Dermatology,16,11-12-2032,Metro Hospital,Chennai,36,229,0.62,0
Dr. Rohit Verma,Cardiology,15,12-12-2032,Metro Hospital,New Delhi,42,446,0.59,0
Dr. Ravi Kumar,Dermatology,9,13-12-2032,City Hospital,Kolkata,73,386,0.96,0
Dr. Swati Desai,Dermatology,15,14-12-2032,City Hospital,Mumbai,34,445,1.6,0
Dr. Ravi Kumar,Orthopedics,8,15-12-2032,Metro Hospital,Kolkata,78,50,0.81,0
Dr. Rohit Verma,Cardiology,16,16-12-2032,City Hospital,Chennai,27,57,0.95,0
Dr. Anil Mehra,Cardiology,16,17-12-2032,Govt Health Center,Chennai,54,193,1.86,1
Dr. Anil Mehra,Orthopedics,15,18-12-2032,Metro Hospital,Mumbai,29,192,1.46,1
Dr. Rohit Verma,Dermatology,12,19-12-2032,Metro Hospital,New Delhi,44,324,1.88,0
Dr. Rohit Verma,Cardiology,12,20-12-2032,Metro Hospital,Kolkata,15,202,1.87,1
Dr. Anil Mehra,Dermatology,10,21-12-2032,City Hospital,New Delhi,84,336,0.6,0
Dr. Ravi Kumar,Orthopedics,12,22-12-2032,City Hospital,Chennai,18,179,1.93,1
Dr. Ravi Kumar,Pediatrics,11,23-12-2032,City Hospital,New Delhi,61,170,0.58,0
Dr. Rohit Verma,Dermatology,8,24-12-2032,Govt Health Center,Kolkata,37,108,1.89,1
Dr. Ravi Kumar,Cardiology,16,25-12-2032,City Hospital,New Delhi,28,266,1.32,1
Dr. Anil Mehra,Pediatrics,17,26-12-2032,Metro Hospital,Chennai,94,80,1.3,1
Dr. Ravi Kumar,Dermatology,11,27-12-2032,City Hospital,Kolkata,72,293,1.57,1
Dr. Rohit Verma,Dermatology,10,28-12-2032,City Hospital,New Delhi,16,189,1.82,1
Dr. Anil Mehra,Pediatrics,13,29-12-2032,City Hospital,New Delhi,46,450,1.43,0
Dr. Ravi Kumar,Pediatrics,8,30-12-2032,City Hospital,Kolkata,98,262,1.14,1
Dr. Swati Desai,Pediatrics,12,31-12-2032,Metro Hospital,Chennai,45,78,0.67,0
Dr. Anil Mehra,Cardiology,14,01-01-2033,City Hospital,Kolkata,26,213,1.68,1
Dr. Anil Mehra,Cardiology,9,02-01-2033,Metro Hospital,Chennai,99,153,0.69,0
Dr. Swati Desai,Dermatology,17,03-01-2033,City Hospital,New Delhi,46,112,1.59,1
Dr. Swati Desai,Dermatology,16,04-01-2033,Govt Health Center,Kolkata,90,64,1.29,1
Dr. Anil Mehra,Orthopedics,13,05-01-2033,Govt Health Center,Chennai,69,335,1.08,0
Dr. Swati Desai,Cardiology,9,06-01-2033,Metro Hospital,Kolkata,58,228,1.42,1
Dr. Rohit Verma,Dermatology,15,07-01-2033,Metro Hospital,New Delhi,90,60,1.66,1
Dr. Rohit Verma,Pediatrics,15,08-01-2033,Govt Health Center,Kolkata,65,490,1.91,0
Dr. Rohit Verma,Pediatrics,8,09-01-2033,Govt Health Center,New Delhi,43,62,0.9,0
Dr. Anil Mehra,Cardiology,8,10-01-2033,City Hospital,New Delhi,96,264,1.92,1
Dr. Swati Desai,Pediatrics,8,11-01-2033,Govt Health Center,New Delhi,39,360,1.94,0
Dr. Swati Desai,Orthopedics,11,12-01-2033,Metro Hospital,Chennai,36,275,1.72,1
Dr. Ravi Kumar,Dermatology,11,13-01-2033,Metro Hospital,Chennai,60,112,1.82,1
Dr. Ravi Kumar,Dermatology,15,14-01-2033,Govt Health Center,Mumbai,18,304,1.54,0
Dr. Swati Desai,Dermatology,8,15-01-2033,Metro Hospital,Chennai,29,179,0.56,0
Dr. Swati Desai,Cardiology,17,16-01-2033,City Hospital,Mumbai,96,489,1.36,0
Dr. Swati Desai,Pediatrics,10,17-01-2033,City Hospital,Kolkata,56,312,1.62,0
Dr. Anil Mehra,Orthopedics,8,18-01-2033,Govt Health Center,New Delhi,28,220,1.91,1
Dr. Swati Desai,Cardiology,16,19-01-2033,Metro Hospital,Chennai,77,464,1.36,0
Dr. Ravi Kumar,Dermatology,17,20-01-2033,Govt Health Center,New Delhi,86,494,1.69,0
Dr. Anil Mehra,Orthopedics,16,21-01-2033,Metro Hospital,Mumbai,21,455,1.56,0
Dr. Swati Desai,Dermatology,14,22-01-2033,Metro Hospital,Chennai,82,239,0.92,0
Dr. Ravi Kumar,Dermatology,15,23-01-2033,Metro Hospital,Chennai,88,333,0.73,0
Dr. Anil Mehra,Cardiology,8,24-01-2033,City Hospital,Chennai,94,74,1.63,1
Dr. Swati Desai,Dermatology,12,25-01-2033,Metro Hospital,Chennai,88,498,0.85,0
Dr. Swati Desai,Orthopedics,9,26-01-2033,City Hospital,New Delhi,14,209,0.87,0
Dr. Swati Desai,Dermatology,8,27-01-2033,Metro Hospital,Chennai,78,266,1.47,1
Dr. Anil Mehra,Pediatrics,10,28-01-2033,Govt Health Center,Mumbai,34,225,1.68,1
Dr. Ravi Kumar,Dermatology,14,29-01-2033,City Hospital,Chennai,97,385,1.37,0
Dr. Ravi Kumar,Cardiology,8,30-01-2033,City Hospital,Mumbai,40,270,1.83,1
Dr. Rohit Verma,Orthopedics,9,31-01-2033,City Hospital,Mumbai,55,329,0.82,0
Dr. Swati Desai,Cardiology,9,01-02-2033,Govt Health Center,New Delhi,43,130,0.88,0
Dr. Rohit Verma,Pediatrics,11,02-02-2033,City Hospital,Chennai,50,174,1.46,1
Dr. Rohit Verma,Dermatology,10,03-02-2033,Govt Health Center,Mumbai,87,219,1.74,1
Dr. Ravi Kumar,Cardiology,10,04-02-2033,Metro Hospital,Chennai,77,119,1.31,1
Dr. Anil Mehra,Cardiology,17,05-02-2033,Metro Hospital,New Delhi,96,127,0.52,0
Dr. Anil Mehra,Cardiology,12,06-02-2033,Govt Health Center,New Delhi,47,139,1.52,1
Dr. Ravi Kumar,Cardiology,10,07-02-2033,City Hospital,Chennai,55,429,1.72,0
Dr. Anil Mehra,Pediatrics,14,08-02-2033,City Hospital,Mumbai,78,397,0.91,0
Dr. Rohit Verma,Pediatrics,12,09-02-2033,Govt Health Center,Kolkata,36,160,0.58,0
Dr. Swati Desai,Dermatology,11,10-02-2033,Metro Hospital,Kolkata,52,213,1.28,1
Dr. Ravi Kumar,Dermatology,10,11-02-2033,Govt Health Center,New Delhi,87,464,0.56,0
Dr. Swati Desai,Orthopedics,11,12-02-2033,City Hospital,Mumbai,80,177,1.12,1
Dr. Anil Mehra,Pediatrics,9,13-02-2033,City Hospital,Kolkata,54,204,0.53,0
Dr. Swati Desai,Cardiology,8,14-02-2033,City Hospital,Mumbai,27,243,0.84,0
Dr. Anil Mehra,Cardiology,10,15-02-2033,City Hospital,Chennai,41,222,1.08,1
Dr. Anil Mehra,Orthopedics,9,16-02-2033,Metro Hospital,New Delhi,11,349,0.67,0
Dr. Rohit Verma,Cardiology,8,17-02-2033,Metro Hospital,Chennai,50,362,0.67,0
Dr. Anil Mehra,Orthopedics,8,18-02-2033,Metro Hospital,Chennai,29,70,1.74,1
Dr. Rohit Verma,Dermatology,9,19-02-2033,City Hospital,Chennai,67,360,0.56,0
Dr. Rohit Verma,Pediatrics,16,20-02-2033,City Hospital,Mumbai,99,158,1.53,1
Dr. Rohit Verma,Orthopedics,12,21-02-2033,City Hospital,Kolkata,47,448,1.72,0
Dr. Ravi Kumar,Cardiology,16,22-02-2033,Govt Health Center,Chennai,10,467,0.7,0
Dr. Ravi Kumar,Orthopedics,15,23-02-2033,City Hospital,New Delhi,78,409,0.79,0
Dr. Anil Mehra,Dermatology,13,24-02-2033,Metro Hospital,Mumbai,63,436,1.46,0
Dr. Rohit Verma,Cardiology,8,25-02-2033,Metro Hospital,Kolkata,23,178,0.97,0
Dr. Ravi Kumar,Dermatology,17,26-02-2033,Metro Hospital,Chennai,34,329,1.21,0
Dr. Rohit Verma,Dermatology,12,27-02-2033,Govt Health Center,New Delhi,18,476,1.75,0
Dr. Swati Desai,Orthopedics,8,28-02-2033,Metro Hospital,Chennai,92,76,0.71,0
Dr. Swati Desai,Dermatology,14,01-03-2033,Govt Health Center,Kolkata,70,442,1.43,0
Dr. Swati Desai,Cardiology,17,02-03-2033,Govt Health Center,Kolkata,61,393,1.91,0
Dr. Anil Mehra,Dermatology,15,03-03-2033,Govt Health Center,Chennai,17,450,0.59,0
Dr. Rohit Verma,Dermatology,15,04-03-2033,City Hospital,Chennai,25,141,0.59,0
Dr. Swati Desai,Orthopedics,14,05-03-2033,City Hospital,Mumbai,17,344,1.33,0
Dr. Ravi Kumar,Dermatology,9,06-03-2033,Metro Hospital,Kolkata,32,104,1.94,1
Dr. Swati Desai,Pediatrics,12,07-03-2033,Metro Hospital,Kolkata,82,245,0.83,0
Dr. Swati Desai,Orthopedics,11,08-03-2033,Govt Health Center,Chennai,43,430,1,0
Dr. Swati Desai,Orthopedics,12,09-03-2033,City Hospital,New Delhi,27,270,0.65,0
Dr. Anil Mehra,Cardiology,17,10-03-2033,Metro Hospital,Chennai,53,350,1.04,0
Dr. Ravi Kumar,Cardiology,16,11-03-2033,Metro Hospital,Chennai,24,205,0.57,0
Dr. Rohit Verma,Cardiology,11,12-03-2033,City Hospital,Kolkata,24,489,1.08,0
Dr. Ravi Kumar,Cardiology,15,13-03-2033,Govt Health Center,Mumbai,32,150,1.33,1
Dr. Rohit Verma,Pediatrics,15,14-03-2033,Metro Hospital,Chennai,96,462,1.96,0
Dr. Anil Mehra,Orthopedics,9,15-03-2033,Metro Hospital,New Delhi,74,285,1.73,1
Dr. Anil Mehra,Dermatology,13,16-03-2033,City Hospital,New Delhi,95,334,1.73,0
Dr. Anil Mehra,Cardiology,12,17-03-2033,City Hospital,Chennai,80,118,0.84,0
Dr. Anil Mehra,Cardiology,9,18-03-2033,Govt Health Center,New Delhi,41,316,0.63,0
Dr. Rohit Verma,Cardiology,17,19-03-2033,Govt Health Center,New Delhi,41,435,1.4,0
Dr. Swati Desai,Dermatology,11,20-03-2033,Metro Hospital,Chennai,42,187,1.28,1
Dr. Rohit Verma,Cardiology,14,21-03-2033,Govt Health Center,New Delhi,52,297,1.27,1
Dr. Ravi Kumar,Dermatology,8,22-03-2033,Metro Hospital,New Delhi,22,152,0.66,0
Dr. Anil Mehra,Orthopedics,16,23-03-2033,Metro Hospital,Chennai,18,157,1.24,1
Dr. Anil Mehra,Orthopedics,17,24-03-2033,City Hospital,Kolkata,71,249,0.73,0
Dr. Ravi Kumar,Orthopedics,8,25-03-2033,Metro Hospital,Mumbai,66,424,1.13,0
Dr. Rohit Verma,Pediatrics,12,26-03-2033,City Hospital,Mumbai,57,264,0.59,0
Dr. Swati Desai,Dermatology,14,27-03-2033,Metro Hospital,Kolkata,52,204,1.79,1
Dr. Swati Desai,Cardiology,15,28-03-2033,Metro Hospital,Chennai,76,136,0.52,0
Dr. Ravi Kumar,Cardiology,9,29-03-2033,Metro Hospital,Kolkata,90,417,1.91,0
Dr. Swati Desai,Cardiology,11,30-03-2033,Govt Health Center,Mumbai,41,468,1.79,0
Dr. Rohit Verma,Cardiology,9,31-03-2033,Govt Health Center,Mumbai,82,258,1.63,1
Dr. Rohit Verma,Pediatrics,11,01-04-2033,City Hospital,Mumbai,69,227,1.97,1
Dr. Ravi Kumar,Cardiology,13,02-04-2033,Metro Hospital,Mumbai,10,123,0.58,0
Dr. Rohit Verma,Pediatrics,13,03-04-2033,City Hospital,Chennai,66,307,1.46,0
Dr. Anil Mehra,Dermatology,9,04-04-2033,City Hospital,Mumbai,93,322,1.77,0
Dr. Ravi Kumar,Orthopedics,11,05-04-2033,Metro Hospital,Mumbai,78,400,0.69,0
Dr. Rohit Verma,Cardiology,11,06-04-2033,Govt Health Center,Chennai,94,385,1.38,0
Dr. Ravi Kumar,Orthopedics,8,07-04-2033,Govt Health Center,Kolkata,78,73,1.09,1
Dr. Swati Desai,Dermatology,9,08-04-2033,City Hospital,Chennai,77,362,1.15,0
Dr. Rohit Verma,Dermatology,10,09-04-2033,Govt Health Center,Mumbai,70,120,1.87,1
Dr. Anil Mehra,Cardiology,12,10-04-2033,Metro Hospital,New Delhi,17,132,1.31,1
Dr. Rohit Verma,Dermatology,15,11-04-2033,Metro Hospital,Chennai,98,449,0.64,0
Dr. Ravi Kumar,Orthopedics,13,12-04-2033,Govt Health Center,Chennai,16,402,1.91,0
Dr. Ravi Kumar,Cardiology,10,13-04-2033,Govt Health Center,Kolkata,46,341,0.78,0
Dr. Rohit Verma,Pediatrics,13,14-04-2033,City Hospital,Mumbai,51,350,1.84,0
Dr. Anil Mehra,Cardiology,14,15-04-2033,Govt Health Center,New Delhi,41,59,1.96,1
Dr. Anil Mehra,Orthopedics,13,16-04-2033,City Hospital,Chennai,26,368,1.82,0
Dr. Anil Mehra,Cardiology,17,17-04-2033,Metro Hospital,Chennai,37,92,1.52,1
Dr. Ravi Kumar,Cardiology,13,18-04-2033,Metro Hospital,Chennai,79,100,1.62,1
Dr. Rohit Verma,Orthopedics,8,19-04-2033,Metro Hospital,New Delhi,57,256,1.55,1
Dr. Swati Desai,Cardiology,10,20-04-2033,Govt Health Center,Chennai,63,156,1.19,1
Dr. Ravi Kumar,Cardiology,14,21-04-2033,Govt Health Center,Chennai,51,308,0.91,0
